make_model,year,count,mean_price
Land-Rover Range Rover Sport,2007,13.0,14000.0
Lexus CT,2012,7.0,14814.285714285714
Lexus ES,2005,14.0,12178.57142857143
Lexus ES,2006,12.0,12783.333333333334
Lexus ES,2007,9.0,13933.0
Lexus ES,2008,11.0,13863.636363636364
Lexus GS,2005,31.0,11329.032258064517
Lexus GS,2006,36.0,11794.361111111111
Lexus GS,2008,6.0,12916.666666666666
Lexus IS,2008,10.0,12960.0
Lexus LS,2007,28.0,12821.42857142857
Lexus LS,2008,11.0,12509.09090909091
Lexus RX,2005,34.0,13937.058823529413
Lexus RX,2006,36.0,14823.527777777777
Lexus RX,2007,11.0,14083.181818181818
Lexus RX,2008,4.0,14850.0
Mazda 3,2005,12.0,5337.583333333333
Mazda 3,2011,4.0,7050.0
Mazda 3,2012,5.0,9100.0
Mazda 6,2005,7.0,5609.571428571428
Mazda 6,2010,4.0,10025.0
Mazda CX-7,2008,8.0,8046.75
Mazda CX-7,2010,4.0,12000.0
Mazda Demio,2005,30.0,5687.466666666666
Mazda Demio,2006,9.0,5288.888888888889
Mazda Premacy,2005,11.0,7318.0
Mercedes-Benz B-Класс,2009,6.0,9200.0
Mercedes-Benz C-Класс,2008,8.0,11037.5
Mercedes-Benz C-Класс,2009,7.0,9785.714285714286
Mercedes-Benz C-Класс,2010,5.0,9640.0
Mercedes-Benz C-Класс,2011,4.0,11149.75
Mercedes-Benz CLS,2005,8.0,12625.0
Mercedes-Benz CLS,2006,5.0,14620.0
Mercedes-Benz E-класс,2005,46.0,10480.152173913044
Mercedes-Benz E-класс,2006,27.0,10219.777777777777
Mercedes-Benz E-класс,2007,24.0,11220.833333333334
Mercedes-Benz E-класс,2008,18.0,9919.444444444445
Mercedes-Benz E-класс,2009,30.0,11170.0
Mercedes-Benz E-класс,2010,12.0,14458.333333333334
Mercedes-Benz E-класс,2011,10.0,13200.0
Mercedes-Benz E-класс,2012,4.0,12500.0
Mercedes-Benz GL-класс,2006,6.0,12783.333333333334
Mercedes-Benz GL-класс,2007,12.0,12966.666666666666
Mercedes-Benz M-класс,2006,4.0,10675.0
Mercedes-Benz M-класс,2007,8.0,12787.5
Mercedes-Benz S-класс,2005,40.0,11997.425
Mercedes-Benz S-класс,2006,50.0,13298.56
Mercedes-Benz S-класс,2007,16.0,12956.25
Mercedes-Benz S-класс,2008,17.0,14458.823529411764
Mitsubishi Outlander,2006,4.0,8444.75
Nissan Almera,2005,7.0,4262.0
Nissan Almera,2017,8.0,8650.0
Nissan Fuga,2005,6.0,8500.0
Nissan Juke,2012,10.0,13700.0
Nissan Juke,2013,6.0,11950.0
Nissan Leaf,2011,6.0,8933.333333333334
Nissan Leaf,2012,13.0,8938.384615384615
Nissan Leaf,2013,20.0,10789.95
Nissan Murano,2005,6.0,9266.666666666666
Nissan Murano,2006,4.0,8825.0
Nissan Note,2005,5.0,6360.0
Nissan Note,2006,10.0,5345.0
Nissan Patrol,2006,6.0,11900.0
Nissan Primera,2005,6.0,5383.333333333333
Nissan Primera,2006,7.0,5700.0
Nissan Qashqai,2009,4.0,9999.0
Nissan X-Trail,2005,7.0,11314.285714285714
Opel Astra,2010,5.0,6200.0
Peugeot 307,2005,7.0,5421.0
Peugeot 308,2008,4.0,6375.0
Porsche Cayenne,2005,8.0,7500.0
Porsche Cayenne,2006,4.0,10500.0
Porsche Cayenne,2009,4.0,12625.0
Renault Duster,2017,6.0,14000.0
Renault Samsung SM6,2016,11.0,12654.545454545454
Renault Samsung SM6,2017,4.0,13500.0
Skoda Octavia,2013,5.0,7787.0
Skoda Octavia,2014,5.0,6639.6
Skoda Octavia,2015,8.0,8649.75
Subaru Forester,2005,35.0,9597.028571428571
Subaru Forester,2006,8.0,9262.5
Subaru Forester,2008,19.0,10810.473684210527
Subaru Forester,2009,18.0,11755.555555555555
Subaru Forester,2010,13.0,11547.0
Subaru Forester,2011,7.0,11171.42857142857
Subaru Forester,2012,4.0,12750.0
Subaru Forester,2013,5.0,14900.0
Subaru Forester,2014,13.0,14999.0
Subaru Forester,2016,16.0,14362.5
Subaru Forester,2017,5.0,14800.0
Subaru Impreza,2005,14.0,5692.142857142857
Subaru Impreza,2007,20.0,6869.85
Subaru Impreza,2009,7.0,8885.714285714286
Subaru Impreza,2015,8.0,13500.0
Subaru Impreza,2017,7.0,14285.714285714286
Subaru Legacy,2005,43.0,7306.837209302325
Subaru Legacy,2006,18.0,7452.944444444444
Subaru Legacy,2009,4.0,10875.0
Subaru Legacy,2010,25.0,11963.92
Subaru Outback,2005,40.0,8841.275
Subaru Outback,2006,16.0,11337.5
Subaru Outback,2007,5.0,10200.0
Subaru Outback,2008,8.0,10437.5
Subaru Outback,2009,11.0,12272.545454545454
Subaru Outback,2010,25.0,12332.0
Subaru Outback,2011,25.0,13156.0
Subaru Outback,2012,9.0,13066.666666666666
Subaru Outback,2016,5.0,11000.0
Subaru Outback,2018,5.0,10480.0
Subaru Tribeca,2005,4.0,10124.25
Subaru Tribeca,2006,9.0,10077.666666666666
Subaru Tribeca,2007,5.0,9940.0
Subaru Tribeca,2008,12.0,12150.0
Subaru XV,2016,12.0,14608.333333333334
Toyota Allex,2005,5.0,6766.4
Toyota Allex,2006,7.0,8614.285714285714
Toyota Alphard,2005,30.0,12342.066666666668
Toyota Alphard,2006,77.0,12724.298701298701
Toyota Alphard,2007,69.0,13506.971014492754
Toyota Alphard,2008,16.0,13875.0
Toyota Auris,2011,6.0,13500.0
Toyota Auris,2014,4.0,12900.0
