make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date,age
Daewoo Tosca,2010,6000,автомат,белый,седан,2.0,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/daewoo-tosca-6457627c758a5155676413,05_07_2023,13
Subaru Legacy,2005,7300,автомат,серебристый,универсал,2.0,бензин,руль справа,230 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-645761eda55ae118677304,05_07_2023,18
Hyundai Sonata,2016,12800,автомат,серебристый,седан,2.0,газ,руль слева,155 555 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-645761cfd1a35425984027,05_07_2023,7
Toyota Alphard,2010,18500,автомат,черный,минивэн,2.4,бензин,руль справа,244 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-645761bbbc294080122578,05_07_2023,13
Kia Morning,2016,9100,автомат,бежевый,хэтчбек 5 дв.,1.0,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-645688e182239551291586,05_07_2023,7
Nissan Primera,2003,4900,автомат,серебристый,седан,1.8,бензин,руль справа,0 км,Бишкек,https://www.mashina.kg/details/nissan-primera-645662452d47f945452029,05_07_2023,20
Toyota Prius,2016,16300,вариатор,вишня,хэтчбек 5 дв.,1.8,гибрид,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64576097f1056114884165,05_07_2023,7
Hyundai Getz,2003,4007,механика,голубой,хэтчбек 5 дв.,1.3,бензин,руль слева,172 835 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-6457601e07578752130306,05_07_2023,20
Toyota Windom,2005,11000,автомат,белый,седан,3.0,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/toyota-windom-64574425ec48a290215951,05_07_2023,18
Honda Fit,2010,10200,автомат,черный,хэтчбек 5 дв.,1.5,бензин,руль слева,95 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64575ea62c3ac123082727,05_07_2023,13
Hyundai Sonata,2010,11500,автомат,серый,седан,2.0,бензин,руль слева,127 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64574513c54c7535527430,05_07_2023,13
Hyundai Sonata,2019,15800,автомат,белый,седан,2.0,газ,руль слева,155 555 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64575e72d6371642626024,05_07_2023,4
Daihatsu YRV,2005,3600,механика,черный,компактвэн,1.0,бензин,руль слева,146 700 км,Бишкек,https://www.mashina.kg/details/daihatsu-yrv-64575e239e4e1651304965,05_07_2023,18
ВАЗ (Lada) 2114,2012,4500,механика,синий,хэтчбек 5 дв.,1.6,бензин,руль слева,212 000 км,Бишкек,https://www.mashina.kg/details/vaz-lada-2114-64567b454402c195975983,05_07_2023,11
Subaru Legacy,2006,8700,автомат,белый,седан,2.0,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-64567965f07b7754560229,05_07_2023,17
Toyota Ist,2003,6600,автомат,белый,хэтчбек 5 дв.,1.3,бензин,руль слева,198 000 км,Бишкек,https://www.mashina.kg/details/toyota-ist-6456049051e9c310374500,05_07_2023,20
Lexus RX,2008,16700,автомат,серебристый,внедорожник 5 дв.,3.5,бензин,руль слева,224 330 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64573408bce38439263859,05_07_2023,15
Subaru Impreza,2016,10100,вариатор,белый,хэтчбек 5 дв.,2.0,бензин,руль слева,137 000 км,Бишкек,https://www.mashina.kg/details/subaru-impreza-64567247121e4261118042,05_07_2023,7
Toyota Ist,2003,7300,автомат,бирюзовый,хэтчбек 5 дв.,1.5,бензин,руль справа,166 781 км,Бишкек,https://www.mashina.kg/details/toyota-ist-6457311a8a886365454337,05_07_2023,20
Honda Inspire,2004,8200,автомат,серебристый,седан,3.0,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/honda-inspire-64563d757477d242310444,05_07_2023,19
