make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date,age
Toyota Noah,2004,8200,автомат,серебристый,минивэн,2.0,бензин,руль справа,206 000 км,Бишкек,https://www.mashina.kg/details/toyota-noah-6438ffbb87790599801040,04_15_2023,19
Honda CR-V,2003,9200,автомат,синий,внедорожник 5 дв.,2.0,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-6438fdbadd44b717732454,04_15_2023,20
Toyota Ist,2003,7500,автомат,белый,хэтчбек 5 дв.,1.3,бензин,руль справа,0 км,Бишкек,https://www.mashina.kg/details/toyota-ist-643941c28cdcb614752261,04_15_2023,20
BMW X5,2004,14000,автомат,серебристый,внедорожник 5 дв.,3.0,дизель,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-643940bb6b3b3686001929,04_15_2023,19
Hyundai Sonata,2015,13800,автомат,белый,седан,2.4,бензин,руль слева,83 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64395ffa76f17754901688,04_15_2023,8
Toyota Camry,2017,17600,автомат,черный,седан,2.5,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64395fbdf3c07961908538,04_15_2023,6
Honda Civic,2008,7300,вариатор,голубой,седан,1.3,гибрид,руль слева,111 125 км,Бишкек,https://www.mashina.kg/details/honda-civic-64395ef022db5031771073,04_15_2023,15
Toyota Camry,2015,16600,вариатор,черный,седан,2.5,гибрид,руль слева,181 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439336a2016e375514516,04_15_2023,8
Mercedes-Benz S-класс,2006,13000,автомат,черный,седан,5.5,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-643916702eb9d903089321,04_15_2023,17
Toyota Ist,2003,6300,автомат,серебристый,хэтчбек 5 дв.,1.5,бензин,руль справа,260 000 км,Бишкек,https://www.mashina.kg/details/toyota-ist-64395b2d43bab374623483,04_15_2023,20
Honda Fit,2004,7300,вариатор,белый,хэтчбек 5 дв.,1.3,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-6439594a59e6d029077475,04_15_2023,19
Subaru Outback,2011,12500,вариатор,черный,универсал,2.5,бензин,руль слева,137 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-643958824a381669063654,04_15_2023,12
Hyundai Sonata,2018,15500,автомат,серебристый,седан,2.0,газ,руль слева,106 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643956625eb45565444912,04_15_2023,5
BMW X5,2007,11500,автомат,серый,внедорожник 5 дв.,4.8,бензин,руль слева,296 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-643956165977b770859941,04_15_2023,16
Toyota Corolla,2017,13900,автомат,серебристый,седан,1.8,бензин,руль слева,72 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-643956146303d219512393,04_15_2023,6
Honda Fit,2007,6500,механика,жёлтый,хэтчбек 5 дв.,1.3,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-643955d08a8ac836743360,04_15_2023,16
Kia K5 II Седан,2016,11600,автомат,серебристый,седан,2.0,бензин,руль слева,96 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-6438dbe364504352957118,04_15_2023,7
Toyota Prius v (+),2016,14999,автомат,белый,универсал,1.8,гибрид,руль слева,19 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-v---6439559fc5073803381671,04_15_2023,7
Audi A6,2006,7900,вариатор,черный,седан,2.4,бензин,руль слева,280 000 км,Бишкек,https://www.mashina.kg/details/audi-a6-6439553438927172535159,04_15_2023,17
Lexus GS,2008,15000,вариатор,белый,седан,3.5,гибрид,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-6439551b1eb71700510353,04_15_2023,15
Honda Jazz,2007,6500,механика,жёлтый,хэтчбек 5 дв.,1.3,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-64395474ee45b490282968,04_15_2023,16
Hyundai Santa Fe,2009,12000,автомат,серый,внедорожник 5 дв.,2.0,дизель,руль слева,219 000 км,Бишкек,https://www.mashina.kg/details/hyundai-santa-fe-643953bc0957f184592132,04_15_2023,14
Kia Optima,2016,17500,автомат,хамелеон,седан,2.0,гибрид,руль слева,60 000 км,Бишкек,https://www.mashina.kg/details/kia-optima-643951ab9d571785429888,04_15_2023,7
Toyota Prius,2016,15000,автомат,синий,хэтчбек 5 дв.,1.8,гибрид,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-643950d12ea1f387089406,04_15_2023,7
Mercedes-Benz E-класс,2004,6000,автомат,черный,седан,2.1,дизель,руль слева,290 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-643a217eded97231547688,04_15_2023,19
Toyota Caldina,2003,5900,автомат,серый,универсал,2.0,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/toyota-caldina-643a2080b3121084225630,04_15_2023,20
Hyundai Sonata,2017,12200,автомат,серебристый,седан,2.0,газ,руль слева,198 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64394ed81206d800092826,04_15_2023,6
Kia Morning,2016,8100,автомат,белый,хэтчбек 5 дв.,1.0,бензин / газ,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-64399936a093b201524949,04_15_2023,7
Honda Stepwgn,2003,8000,автомат,серебристый,минивэн,2.0,бензин,руль справа,158 048 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-643951b52b6e7686998873,04_15_2023,20
Lexus RX,2006,15900,вариатор,золотистый,внедорожник 5 дв.,3.3,гибрид,руль слева,167 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-6438669687a6c049530001,04_15_2023,17
Hyundai Sonata,2017,16000,автомат,серебристый,седан,2.0,газ,руль слева,168 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-6438e7e77a306652013863,04_15_2023,6
Toyota RAV4,2008,17700,автомат,серебристый,внедорожник 5 дв.,2.0,бензин,руль слева,197 000 км,Бишкек,https://www.mashina.kg/details/toyota-rav4-6438d8e90484a344660756,04_15_2023,15
Honda Stepwgn,2005,9000,автомат,фиолетовый,минивэн,2.4,бензин,руль справа,32 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-643a1b1aa3f40637322009,04_15_2023,18
Hyundai Sonata,2019,16300,автомат,серебристый,седан,2.0,газ,руль слева,201 900 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643973b37e5b5188592833,04_15_2023,4
Nissan March,2004,3500,автомат,жёлтый,хэтчбек 5 дв.,1.2,бензин,руль справа,185 000 км,Бишкек,https://www.mashina.kg/details/nissan-march-643a1adc20cf4546706184,04_15_2023,19
Toyota Avensis,2003,5100,автомат,серебристый,седан,2.0,бензин,руль справа,259 898 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-64394754eb4a2787975780,04_15_2023,20
Hyundai Sonata,2016,14300,автомат,черный,седан,2.0,газ,руль слева,0 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643a1a5a8b915374821677,04_15_2023,7
Neta V,2021,15700,автомат,голубой,внедорожник 5 дв.,2.0,электро,руль слева,42 000 км,Бишкек,https://www.mashina.kg/details/neta-v-643a1a581ffe7185863540,04_15_2023,2
Hyundai Tucson,2017,16700,автомат,серый,внедорожник 5 дв.,2.0,дизель,руль слева,127 000 км,Бишкек,https://www.mashina.kg/details/hyundai-tucson-6438fdf819ed7029405101,04_15_2023,6
BMW 5 серии,2003,10000,автомат,серый,седан,3.0,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-6439474315d12436233694,04_15_2023,20
Honda Stepwgn,2003,12500,автомат,серебристый,минивэн,2.4,бензин,руль справа,178 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64389f27b017e726239542,04_15_2023,20
Hyundai Avante,2018,13600,автомат,серый,седан,1.6,бензин / газ,руль слева,131 000 км,Бишкек,https://www.mashina.kg/details/hyundai-avante-643a182d9ea92518602093,04_15_2023,5
Lexus ES,2009,15000,автомат,серебристый,седан,3.5,бензин,руль слева,152 000 км,Бишкек,https://www.mashina.kg/details/lexus-es-6438d3abe251a805442352,04_15_2023,14
Honda Odyssey,2004,7300,вариатор,серый,минивэн,2.4,бензин,руль справа,300 000 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-643a15b329dc0614533263,04_15_2023,19
Mercedes-Benz E-класс,2004,5500,автомат,черный,седан,2.1,дизель,руль слева,398 524 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-64394048ea310351717771,04_15_2023,19
Toyota Camry,2013,18000,автомат,серый,седан,3.5,бензин,руль слева,85 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64393f7e3a40a146446564,04_15_2023,10
Audi A6,2004,9500,автомат,серебристый,седан,3.1,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/audi-a6-64393efb1fbd7970038661,04_15_2023,19
Toyota Camry,2005,14800,автомат,серый,седан,2.4,бензин,руль слева,238 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64393d722299f140318049,04_15_2023,18
Toyota Camry,2003,9900,автомат,серебристый,седан,2.4,бензин,руль справа,0 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643935d9a28b2205252568,04_15_2023,20
Daewoo Matiz,2010,6500,автомат,белый,хэтчбек 5 дв.,1.0,бензин,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/daewoo-matiz-64393a2b8776a237035847,04_15_2023,13
Honda Accord,2003,9500,автомат,белый,седан,2.4,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64393a1bd3d76907984779,04_15_2023,20
Toyota Camry,2007,11500,автомат,белый,седан,2.4,бензин,руль слева,158 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439393f5f7a9458067931,04_15_2023,16
Hyundai Elantra,2017,14200,автомат,черный,седан,2.0,бензин,руль слева,151 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-6439382bbfa60207602439,04_15_2023,6
Mazda 6,2010,7000,автомат,черный,седан,2.0,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/mazda-6-6439382745a7c382875890,04_15_2023,13
Toyota Camry,2015,19700,автомат,черный,седан,2.5,бензин,руль слева,92 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439375bae82d550178856,04_15_2023,8
Kia Sportage,2016,17000,робот,синий,внедорожник 5 дв.,1.7,дизель,руль слева,122 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-6438e71d2cb87689405815,04_15_2023,7
Toyota Ipsum,2003,8000,автомат,серебристый,компактвэн,2.4,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/toyota-ipsum-643935e832f00852163127,04_15_2023,20
Hyundai Sonata,2017,13200,автомат,черный,седан,2.0,газ,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643931dd4cc9f632748568,04_15_2023,6
Mercedes-Benz S-класс,2006,11800,автомат,белый,седан,3.5,бензин,руль слева,0 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-6439308213bef373854881,04_15_2023,17
Toyota Camry,2017,19300,автомат,серебристый,седан,2.5,бензин,руль слева,82 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64392febc7da0864483459,04_15_2023,6
Mazda 6,2003,4550,механика,серебристый,седан,1.8,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/mazda-6-64392f591fd38344198992,04_15_2023,20
Hyundai Sonata,2017,16700,автомат,белый,седан,2.0,газ,руль слева,16 200 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64392f130f2ca066913506,04_15_2023,6
Lexus RX,2008,14200,автомат,черный,внедорожник 5 дв.,3.5,бензин,руль слева,169 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64392ed3b173f961543226,04_15_2023,15
Mercedes-Benz S-класс,2006,11800,автомат,белый,седан,3.5,бензин,руль слева,0 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-64392e6293d40581571504,04_15_2023,17
Hyundai Sonata,2017,13300,автомат,белый,седан,2.0,газ,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643851c37c235524776210,04_15_2023,6
Hyundai Sonata,2018,13200,автомат,серебристый,седан,2.0,газ,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-6439307c2b485000975013,04_15_2023,5
Honda Inspire,2003,8300,автомат,серебристый,седан,3.0,бензин,руль справа,199 500 км,Бишкек,https://www.mashina.kg/details/honda-inspire-643a46d21e685643079978,04_15_2023,20
Lexus GX,2003,20000,автомат,серебристый,внедорожник 5 дв.,4.7,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/lexus-gx-643a44d3d7d07300598581,04_15_2023,20
Kia Morning,2016,8500,автомат,бежевый,хэтчбек 5 дв.,1.0,бензин,руль слева,86 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-643a20335409d448423092,04_15_2023,7
Renault Samsung SM6,2016,13500,вариатор,серебристый,седан,1.5,газ,руль слева,256 789 км,Бишкек,https://www.mashina.kg/details/renault-samsung-sm6-6438ecd4584f1295147356,04_15_2023,7
Kia K5 II Седан,2018,15200,автомат,белый,седан,2.0,газ,руль слева,169 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-643889aa429ce900230364,04_15_2023,5
Toyota Camry,2015,16500,автомат,белый,седан,2.5,бензин,руль слева,127 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643a4638ed23f558919398,04_15_2023,8
Hyundai Sonata,2017,13700,автомат,серый,седан,2.0,газ,руль слева,128 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643a462274011989705318,04_15_2023,6
Toyota Camry,2016,16500,автомат,серый,седан,2.5,бензин,руль слева,113 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643a461391311505811796,04_15_2023,7
Toyota Mark X,2005,9200,автомат,серебристый,седан,2.5,бензин,руль справа,122 000 км,Бишкек,https://www.mashina.kg/details/toyota-mark-x-6438f34e448ba680048993,04_15_2023,18
BMW 5 серии,2004,5800,автомат,синий,седан,2.2,бензин,руль слева,358 555 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-643a447e3ecc7005291725,04_15_2023,19
Kia Optima,2019,17800,автомат,серебристый,седан,2.0,бензин,руль слева,750 000 км,Бишкек,https://www.mashina.kg/details/kia-optima-643a443281ab7421976097,04_15_2023,4
Mercedes-Benz C-Класс,2004,7800,автомат,черный,седан,1.8,бензин,руль слева,258 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-c-klass-64393a68c9367626317351,04_15_2023,19
Subaru Legacy,2004,7400,автомат,черный,универсал,2.0,бензин,руль справа,299 831 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-643a424304818977694812,04_15_2023,19
Daewoo Nexia,2011,4209,механика,белый,седан,1.5,бензин,руль слева,185 000 км,Бишкек,https://www.mashina.kg/details/daewoo-nexia-64396ed7162a1708454061,04_15_2023,12
Kia Morning,2016,7900,автомат,белый,хэтчбек 5 дв.,1.0,бензин,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-64398108c91b4211614429,04_15_2023,7
Toyota Camry,2010,13900,автомат,белый,седан,2.5,бензин,руль слева,148 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64396f7256797331590966,04_15_2023,13
Honda Accord,2003,7000,автомат,черный,универсал,2.4,бензин,руль справа,240 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-643a40dd6d5e8017861605,04_15_2023,20
Hyundai Sonata,2017,14000,автомат,синий,седан,2.4,бензин,руль слева,115 528 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643a4084968d6504054375,04_15_2023,6
Renault Logan,2008,3071,механика,серебристый,седан,1.6,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/renault-logan-643a375fa05f1463047528,04_15_2023,15
Hyundai Sonata,2017,14750,автомат,белый,седан,2.0,газ,руль слева,195 111 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-6438fc4e44603751198238,04_15_2023,6
Hyundai Grandeur,2018,17500,автомат,серебристый,седан,3.0,бензин / газ,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/hyundai-grandeur-6438f7592831b728754665,04_15_2023,5
Kia Sorento,2016,19999,автомат,серебристый,внедорожник 5 дв.,2.2,дизель,руль слева,141 000 км,Бишкек,https://www.mashina.kg/details/kia-sorento-6438f511b2256280286400,04_15_2023,7
Honda Stepwgn,2005,9200,автомат,баклажан,минивэн,2.4,бензин,руль справа,300 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-643a361579380203458795,04_15_2023,18
Kia Carnival,2016,20000,автомат,белый,минивэн,2.2,дизель,руль слева,228 000 км,Бишкек,https://www.mashina.kg/details/kia-carnival-643a360b07ff2800726550,04_15_2023,7
Toyota Camry,2012,16500,автомат,черный,седан,2.5,бензин,руль слева,221 500 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643a3600afdac308646619,04_15_2023,11
Toyota Estima,2008,11000,вариатор,белый,минивэн,2.4,бензин,руль справа,150 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-643a35f31816a010119682,04_15_2023,15
Mitsubishi Pajero,2008,13500,автомат,серебристый,внедорожник 5 дв.,3.2,дизель,руль слева,207 750 км,Бишкек,https://www.mashina.kg/details/mitsubishi-pajero-6439235075bf8152011828,04_15_2023,15
Toyota Camry,2016,16500,автомат,серебристый,седан,2.5,бензин,руль слева,113 200 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643a34d7ed2a1064791452,04_15_2023,7
Subaru XV,2016,14500,вариатор,коричневый,внедорожник 5 дв.,2.0,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/subaru-xv-6438e13d18f96032357808,04_15_2023,7
Toyota Camry,2010,11500,автомат,белый,седан,2.5,бензин,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643a24b962f3f488609584,04_15_2023,13
Toyota Camry,2011,12999,автомат,бордовый,седан,2.5,бензин,руль слева,199 999 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643a3333508cc118338451,04_15_2023,12
Toyota Avensis,2005,6400,автомат,серебристый,седан,2.0,бензин,руль справа,212 000 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-643a33054385b755157143,04_15_2023,18
Lexus GX,2004,16400,автомат,серебристый,внедорожник 5 дв.,4.7,бензин,руль слева,147 000 км,Бишкек,https://www.mashina.kg/details/lexus-gx-643a315f2dc89160512499,04_15_2023,19
Kia Morning,2016,8560,автомат,бирюзовый,хэтчбек 5 дв.,1.0,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-643a1c4aa085b767199050,04_15_2023,7
Toyota 4Runner,2003,16200,автомат,серебристый,внедорожник 5 дв.,4.0,бензин,руль слева,186 000 км,Бишкек,https://www.mashina.kg/details/toyota-4runner-64392c2908adb331234007,04_15_2023,20
Toyota Mark X,2005,8300,автомат,синий,седан,2.5,бензин,руль справа,256 000 км,Бишкек,https://www.mashina.kg/details/toyota-mark-x-6439b928045c8146178833,04_15_2023,18
Hyundai Sonata,2018,15700,автомат,черный,седан,2.0,газ,руль слева,81 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643a2e73afece316548429,04_15_2023,5
Honda CR-V,2006,8800,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль справа,186 528 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-6438cbd168862739214107,04_15_2023,17
Hyundai Elantra,2017,5750,автомат,серебристый,седан,2.0,бензин,руль слева,80 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-64397526a17f8962952526,04_15_2023,6
Honda Accord,2004,7999,автомат,серебристый,седан,2.0,бензин,руль справа,166 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-6439744a9b4ea587414417,04_15_2023,19
Kia K5 II Седан,2017,12800,автомат,серебристый,седан,2.0,газ,руль слева,155 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-643973cc62158860177907,04_15_2023,6
Chevrolet Spark,2017,7800,вариатор,белый,хэтчбек 5 дв.,1.0,бензин,руль слева,53 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-spark-643972b2b1f20601414430,04_15_2023,6
Toyota Camry,2012,16500,автомат,черный,седан,2.5,бензин,руль слева,16 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643971c3395a8848483424,04_15_2023,11
Subaru Forester,2006,9200,автомат,серый,универсал,2.0,бензин,руль слева,318 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-6439267eb4082038595470,04_15_2023,17
Hyundai Sonata,2016,12500,автомат,белый,седан,2.0,газ,руль слева,144 600 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643937493131c470951236,04_15_2023,7
Hyundai Elantra,2018,12350,автомат,синий,седан,2.0,бензин,руль слева,45 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-64396beed056a007986323,04_15_2023,5
Honda Fit,2003,6825,вариатор,черный,хэтчбек 5 дв.,1.5,бензин,руль справа,100 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64396b761db53379014511,04_15_2023,20
Toyota Aristo,2003,8200,автомат,черный,седан,3.0,бензин,руль справа,296 000 км,Бишкек,https://www.mashina.kg/details/toyota-aristo-64396a712fccd106478338,04_15_2023,20
Toyota Camry,2005,10600,автомат,серебристый,седан,2.4,бензин,руль слева,238 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643969769abf5044625060,04_15_2023,18
Mercedes-Benz S-класс,2008,13800,автомат,черный,седан,5.5,бензин,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-6439693236020980529272,04_15_2023,15
Hyundai Getz,2008,5600,механика,голубой,хэтчбек 5 дв.,1.5,дизель,руль слева,306 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-64396610ad170997418347,04_15_2023,15
BMW X5,2005,13500,автомат,зеленый,внедорожник 5 дв.,3.0,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-643965882817b929004638,04_15_2023,18
Hyundai Sonata,2018,15000,автомат,белый,седан,2.0,газ,руль слева,140 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-6439655aaafe0183541157,04_15_2023,5
Toyota Prius,2016,17200,вариатор,вишня,хэтчбек 5 дв.,1.8,гибрид,руль слева,152 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64396416b7312964995738,04_15_2023,7
Kia Morning,2016,8800,автомат,серебристый,хэтчбек 5 дв.,1.0,бензин / газ,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-643963a2a68cb217022468,04_15_2023,7
Chevrolet Matiz,2008,4551,автомат,зеленый,хэтчбек 5 дв.,0.8,бензин,руль слева,19 360 км,Бишкек,https://www.mashina.kg/details/chevrolet-matiz-643962af726c1483842497,04_15_2023,15
Lexus RX,2005,15500,вариатор,белый,внедорожник 5 дв.,3.3,гибрид,руль слева,336 615 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64395d643c07d779804647,04_15_2023,18
Mercedes-Benz E-класс,2004,5000,автомат,серый,седан,3.2,бензин,руль слева,20 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-643960aa38166989800898,04_15_2023,19
Toyota Prius,2015,12000,автомат,белый,хэтчбек 5 дв.,1.8,гибрид,руль слева,199 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-6439d5b433ce5480466270,04_15_2023,8
Honda Fit,2005,7394,вариатор,жёлтый,хэтчбек 5 дв.,1.3,бензин,руль справа,123 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-6439a092af42f666432614,04_15_2023,18
Mitsubishi Space Star,2003,3000,механика,серебристый,компактвэн,1.3,бензин,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/mitsubishi-space-star-64384dd70282a256139152,04_15_2023,20
Toyota Camry,2017,16400,автомат,черный,седан,2.5,бензин,руль слева,85 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439cf2d2fe74956348717,04_15_2023,6
Toyota Prius,2007,9500,автомат,белый,хэтчбек 5 дв.,1.5,гибрид,руль слева,175 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-643992e9f3b1d923755706,04_15_2023,16
Toyota RAV4,2008,15800,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль слева,195 000 км,Бишкек,https://www.mashina.kg/details/toyota-rav4-6439c531c6a08376035331,04_15_2023,15
Toyota Camry,2011,16000,автомат,черный,седан,3.5,бензин,руль слева,212 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439c470ea7e1538912431,04_15_2023,12
Honda Odyssey,2007,11500,автомат,белый,минивэн,2.4,бензин,руль справа,193 000 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-6439bf30139a4819326173,04_15_2023,16
Toyota Premio,2003,8000,вариатор,серебристый,седан,2.0,бензин,руль справа,196 300 км,Бишкек,https://www.mashina.kg/details/toyota-premio-6439ac663458d307860786,04_15_2023,20
Hyundai Sonata,2017,15500,автомат,черный,седан,2.0,газ,руль слева,196 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-6438487a4c79a511638514,04_15_2023,6
Toyota Camry,2014,16300,автомат,серебристый,седан,2.5,бензин,руль слева,1 892 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439bbae11d3a669375634,04_15_2023,9
Hyundai Getz,2004,4436,механика,серый,хэтчбек 5 дв.,1.4,бензин,руль слева,1 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-6439bab023b2e876397187,04_15_2023,19
Toyota Camry,2003,7700,автомат,серый,седан,2.4,бензин,руль слева,239 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439ba7ba7df2954733173,04_15_2023,20
Subaru Outback,2017,10500,вариатор,черный,универсал,2.5,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-6439b70d2d7f6398444818,04_15_2023,6
Hyundai Elantra,2018,13500,автомат,серый,седан,2.0,бензин,руль слева,60 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-6439b41b1cf37374931218,04_15_2023,5
Toyota Camry,2016,16800,вариатор,синий,седан,2.5,гибрид,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439b2d498142243615640,04_15_2023,7
Honda Jazz,2008,6800,механика,красный,хэтчбек 5 дв.,1.3,бензин,руль слева,191 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-64385c490005e724241071,04_15_2023,15
Toyota Camry,2015,18900,вариатор,черный,седан,2.5,гибрид,руль слева,217 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6439acf9dc7f9153519721,04_15_2023,8
Honda Fit,2009,9500,автомат,серый,хэтчбек 5 дв.,1.5,бензин,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-6439a77e08e83133954227,04_15_2023,14
Chrysler Neon,2004,3185,автомат,красный,седан,2.0,бензин,руль слева,224 000 км,Бишкек,https://www.mashina.kg/details/chrysler-neon-6439a60b39285234213291,04_15_2023,19
Lexus RX,2004,14500,автомат,золотистый,внедорожник 5 дв.,3.0,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64390fffd3c84933688195,04_15_2023,19
Honda Fit,2003,6400,автомат,серебристый,хэтчбек 5 дв.,1.5,бензин,руль справа,235 521 км,Бишкек,https://www.mashina.kg/details/honda-fit-643a14b8aa88f788141911,04_15_2023,20
