make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date
ВАЗ (Lada) 2107,2011 г.,$ 4 302,механика,зеленый,седан,1.6,бензин,руль слева,7 132 км,Бишкек,https://www.mashina.kg/details/vaz-lada-2107-64febef79647a861821068,09_11_2023
Toyota Camry,2003 г.,$ 8 800,автомат,белый,седан,2.4,бензин,руль слева,230 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fdca857c6cc737094850,09_11_2023
Honda Jazz,2006 г.,$ 8 100,вариатор,серебристый,хэтчбек 5 дв.,1.3,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/honda-jazz-64febda2e600f136049971,09_11_2023
Subaru Forester,2005 г.,$ 9 300,автомат,белый,универсал,2,бензин,руль справа,225 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64febce4ca2e8386986943,09_11_2023
Audi Q5,2010 г.,$ 20 000,автомат,белый,внедорожник 5 дв.,2,бензин,руль слева,83 000 км,Бишкек,https://www.mashina.kg/details/audi-q5-64febcc9ea5d4317660475,09_11_2023
Toyota Vellfire,2009 г.,$ 15 950,автомат,белый,минивэн,3.5,бензин,руль справа,143 000 км,Бишкек,https://www.mashina.kg/details/toyota-vellfire-64fd73b432a7b405208163,09_11_2023
Kia K5 I Седан,2012 г.,$ 11 600,автомат,белый,седан,2,газ,руль слева,289 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64febc12a5f10384797677,09_11_2023
Hyundai Sonata,2017 г.,$ 13 800,автомат,черный,седан,2,бензин,руль слева,76 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64febbf627468963163732,09_11_2023
Kia K5 II Седан,2017 г.,$ 14 800,автомат,синий,седан,2,газ,руль слева,156 500 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fdbb78e09b9921088553,09_11_2023
Toyota Prius,2016 г.,$ 14 900,вариатор,синий,лифтбек,1.8,гибрид,руль слева,23 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64feb8a6c20b4795801943,09_11_2023
Ford Focus,2009 г.,$ 8 800,автомат,синий,седан,2,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/ford-focus-64fde33199150934377614,09_11_2023
Volkswagen Polo,2013 г.,$ 5 900,механика,белый,седан,1.6,бензин,руль слева,342 000 км,Бишкек,https://www.mashina.kg/details/volkswagen-polo-64fed600e6106893974085,09_11_2023
Toyota Camry (Japan),2003 г.,$ 9 100,автомат,серебристый,седан,2.4,бензин,руль справа,175 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-japan-64fd6b11b1df0131969734,09_11_2023
Mazda Demio,2005 г.,$ 5 207,автомат,серебристый,хэтчбек 5 дв.,1.5,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/mazda-demio-64fed5be2f5d0914289561,09_11_2023
Honda Fit,2006 г.,$ 6 900,вариатор,бирюзовый,хэтчбек 5 дв.,1.3,бензин,руль справа,297 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fdcbec6e810928050471,09_11_2023
Kia Morning,2017 г.,$ 8 700,автомат,красный,хэтчбек 5 дв.,1,бензин / газ,руль слева,96 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-64fed58383abb188135426,09_11_2023
